timestamp,benchmark,backend,cpu_model,gpu_model,raw_output_file
"2026-06-08T13:27:37Z","cpu_single_threaded","cpu","AMD EPYC 7F72 24-Core Processor","N/A","/home/mkozma/mlir_onlab/examples/pom2k/pom2k_adjust_u_v/results/raw/cpu_single_threaded_20260608T132737Z.log"
"2026-06-08T13:27:53Z","cpu_multithreaded","cpu_openmp","AMD EPYC 7F72 24-Core Processor","N/A","/home/mkozma/mlir_onlab/examples/pom2k/pom2k_adjust_u_v/results/raw/cpu_multithreaded_20260608T132753Z.log"
"2026-06-08T13:28:14Z","gpu_cuda","cuda","AMD EPYC 7F72 24-Core Processor","NVIDIA A100-PCIE-40GB","/home/mkozma/mlir_onlab/examples/pom2k/pom2k_adjust_u_v/results/raw/gpu_cuda_20260608T132814Z.log"
