timestamp,benchmark,backend,cpu_model,gpu_model,raw_output_file
"2026-05-25T13:47:20Z","cpu_single_threaded","cpu","Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz","N/A","/home/mkozma/mlir_onlab/examples/pom2k/pom2k_ext_add_ad_2d/results/raw/cpu_single_threaded_20260525T134720Z.log"
"2026-05-25T13:48:05Z","cpu_multithreaded","cpu_openmp","Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz","N/A","/home/mkozma/mlir_onlab/examples/pom2k/pom2k_ext_add_ad_2d/results/raw/cpu_multithreaded_20260525T134805Z.log"
"2026-05-25T13:48:15Z","gpu_cuda","cuda","Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz","N/A","N/A"
